     #Energy           s           p           d       tot  
   -23.28218     0.01037     0.01682    31.96907    31.99626
   -23.24318     0.01037     0.01682    31.96907    31.99626
   -23.20418     0.01037     0.01682    31.96907    31.99626
   -23.16618     0.01037     0.01682    31.96907    31.99626
   -23.12718     0.01037     0.01682    31.96907    31.99626
   -23.08818     0.01037     0.01682    31.96907    31.99626
   -23.05018     0.01037     0.01682    31.96907    31.99626
   -23.01118     0.01037     0.01682    31.96907    31.99626
   -22.97218     0.01037     0.01682    31.96907    31.99626
   -22.93418     0.01037     0.01682    31.96907    31.99626
   -22.89518     0.01037     0.01682    31.96907    31.99626
   -22.85618     0.01037     0.01682    31.96907    31.99626
   -22.81818     0.01037     0.01682    31.96907    31.99626
   -22.77918     0.01037     0.01682    31.96907    31.99626
   -22.74018     0.01037     0.01682    31.96907    31.99626
   -22.70218     0.01037     0.01682    31.96907    31.99626
   -22.66318     0.01037     0.01682    31.96907    31.99626
   -22.62418     0.01037     0.01682    31.96907    31.99626
   -22.58618     0.01037     0.01682    31.96907    31.99626
   -22.54718     0.01037     0.01682    31.96907    31.99626
   -22.50818     0.01037     0.01682    31.96907    31.99626
   -22.47018     0.01037     0.01682    31.96907    31.99626
   -22.43118     0.01037     0.01682    31.96907    31.99626
   -22.39218     0.01037     0.01682    31.96907    31.99626
   -22.35418     0.01037     0.01682    31.96907    31.99626
   -22.31518     0.01037     0.01682    31.96907    31.99626
   -22.27618     0.01037     0.01682    31.96907    31.99626
   -22.23818     0.01037     0.01682    31.96907    31.99626
   -22.19918     0.01037     0.01682    31.96907    31.99626
   -22.16018     0.01037     0.01682    31.96907    31.99626
   -22.12218     0.01037     0.01682    31.96907    31.99626
   -22.08318     0.01037     0.01682    31.96907    31.99626
   -22.04418     0.01037     0.01682    31.96907    31.99626
   -22.00618     0.01037     0.01682    31.96907    31.99626
   -21.96718     0.01037     0.01682    31.96907    31.99626
   -21.92818     0.01037     0.01682    31.96907    31.99626
   -21.89018     0.01037     0.01682    31.96907    31.99626
   -21.85118     0.01037     0.01682    31.96907    31.99626
   -21.81218     0.01037     0.01682    31.96907    31.99626
   -21.77418     0.01037     0.01682    31.96907    31.99626
   -21.73518     0.01037     0.01682    31.96907    31.99626
   -21.69618     0.01037     0.01682    31.96907    31.99626
   -21.65818     0.01037     0.01682    31.96907    31.99626
   -21.61918     0.01037     0.01682    31.96907    31.99626
   -21.58018     0.01037     0.01682    31.96907    31.99626
   -21.54218     0.01037     0.01682    31.96907    31.99626
   -21.50318     0.01037     0.01682    31.96907    31.99626
   -21.46418     0.01037     0.01682    31.96907    31.99626
   -21.42618     0.01037     0.01682    31.96907    31.99626
   -21.38718     0.01037     0.01682    31.96907    31.99626
   -21.34818     0.01037     0.01682    31.96907    31.99626
   -21.31018     0.01037     0.01682    31.96907    31.99626
   -21.27118     0.01037     0.01682    31.96907    31.99626
   -21.23218     0.01037     0.01682    31.96907    31.99626
   -21.19418     0.01037     0.01682    31.96907    31.99626
   -21.15518     0.01037     0.01682    31.96907    31.99626
   -21.11618     0.01037     0.01682    31.96907    31.99626
   -21.07818     0.01037     0.01682    31.96907    31.99626
   -21.03918     0.01037     0.01682    31.96907    31.99626
   -21.00018     0.01037     0.01682    31.96907    31.99626
   -20.96218     0.01037     0.01682    31.96907    31.99626
   -20.92318     0.01037     0.01682    31.96907    31.99626
   -20.88418     0.01037     0.01682    31.96907    31.99626
   -20.84618     0.01037     0.01682    31.96907    31.99626
   -20.80718     0.01037     0.01682    31.96907    31.99626
   -20.76818     0.01037     0.01682    31.96907    31.99626
   -20.73018     0.01037     0.01682    31.96907    31.99626
   -20.69118     0.01037     0.01682    31.96907    31.99626
   -20.65218     0.01037     0.01682    31.96907    31.99626
   -20.61418     0.01037     0.01682    31.96907    31.99626
   -20.57518     0.01037     0.01682    31.96907    31.99626
   -20.53618     0.01037     0.01682    31.96907    31.99626
   -20.49818     0.01037     0.01682    31.96907    31.99626
   -20.45918     0.01037     0.01682    31.96907    31.99626
   -20.42018     0.01037     0.01682    31.96907    31.99626
   -20.38218     0.01037     0.01682    31.96907    31.99626
   -20.34318     0.01037     0.01682    31.96907    31.99626
   -20.30418     0.01037     0.01682    31.96907    31.99626
   -20.26618     0.01037     0.01682    31.96907    31.99626
   -20.22718     0.01037     0.01682    31.96907    31.99626
   -20.18818     0.01037     0.01682    31.96907    31.99626
   -20.15018     0.01037     0.01682    31.96907    31.99626
   -20.11118     0.01037     0.01682    31.96907    31.99626
   -20.07218     0.01037     0.01682    31.96907    31.99626
   -20.03418     0.01037     0.01682    31.96907    31.99626
   -19.99518     0.01037     0.01682    31.96907    31.99626
   -19.95618     0.01037     0.01682    31.96907    31.99626
   -19.91818     0.01037     0.01682    31.96907    31.99626
   -19.87918     0.01037     0.01682    31.96907    31.99626
   -19.84018     0.01037     0.01682    31.96907    31.99626
   -19.80218     0.01037     0.01682    31.96907    31.99626
   -19.76318     0.01037     0.01682    31.96907    31.99626
   -19.72418     0.01037     0.01682    31.96907    31.99626
   -19.68618     0.01037     0.01682    31.96907    31.99626
   -19.64718     0.01037     0.01682    31.96907    31.99626
   -19.60818     0.01037     0.01682    31.96907    31.99626
   -19.57018     0.01037     0.01682    31.96907    31.99626
   -19.53118     0.01037     0.01682    31.96907    31.99626
   -19.49218     0.01037     0.01682    31.96907    31.99626
   -19.45418     0.01037     0.01682    31.96907    31.99626
   -19.41518     0.01037     0.01682    31.96907    31.99626
   -19.37618     0.01037     0.01682    31.96907    31.99626
   -19.33818     0.01037     0.01682    31.96907    31.99626
   -19.29918     0.01037     0.01682    31.96907    31.99626
   -19.26018     0.01037     0.01682    31.96907    31.99626
   -19.22218     0.01037     0.01682    31.96907    31.99626
   -19.18318     0.01037     0.01682    31.96907    31.99626
   -19.14418     0.01037     0.01682    31.96907    31.99626
   -19.10618     0.01037     0.01682    31.96907    31.99626
   -19.06718     0.01037     0.01682    31.96907    31.99626
   -19.02818     0.01037     0.01682    31.96907    31.99626
   -18.99018     0.01037     0.01682    31.96907    31.99626
   -18.95118     0.01037     0.01682    31.96907    31.99626
   -18.91218     0.01037     0.01682    31.96907    31.99626
   -18.87418     0.01037     0.01682    31.96907    31.99626
   -18.83518     0.01037     0.01682    31.96907    31.99626
   -18.79618     0.01037     0.01682    31.96907    31.99626
   -18.75818     0.01037     0.01682    31.96907    31.99626
   -18.71918     0.01037     0.01682    31.96907    31.99626
   -18.68018     0.01037     0.01682    31.96907    31.99626
   -18.64218     0.01037     0.01682    31.96907    31.99626
   -18.60318     0.01037     0.01682    31.96907    31.99626
   -18.56418     0.01037     0.01682    31.96907    31.99626
   -18.52618     0.01037     0.01682    31.96907    31.99626
   -18.48718     0.01037     0.01682    31.96907    31.99626
   -18.44818     0.01037     0.01682    31.96907    31.99626
   -18.41018     0.01037     0.01682    31.96907    31.99626
   -18.37118     0.01037     0.01682    31.96907    31.99626
   -18.33218     0.01037     0.01682    31.96907    31.99626
   -18.29418     0.01037     0.01682    31.96907    31.99626
