     #Energy           s           p           d       tot  
   -22.74018     0.00000     0.00000     0.00000     0.00000
   -22.70218     0.00000     0.00000     0.00000     0.00000
   -22.66318     0.00000     0.00000     0.00000     0.00000
   -22.62418     0.00000     0.00000     0.00000     0.00000
   -22.58618     0.00000     0.00000     0.00000     0.00000
   -22.54718     0.00000     0.00000     0.00000     0.00000
   -22.50818     0.00000     0.00000     0.00000     0.00000
   -22.47018     0.00000     0.00000     0.00000     0.00000
   -22.43118     0.00000     0.00000     0.00000     0.00000
   -22.39218     0.00000     0.00000     0.00000     0.00000
   -22.35418     0.00000     0.00000     0.00000     0.00000
   -22.31518     0.00000     0.00000     0.00000     0.00000
   -22.27618     0.00000     0.00000     0.00000     0.00000
   -22.23818     0.00000     0.00000     0.00000     0.00000
   -22.19918     0.00000     0.00000     0.00000     0.00000
   -22.16018     0.00000     0.00000     0.00000     0.00000
   -22.12218     0.00000     0.00000     0.00000     0.00000
   -22.08318     0.00000     0.00000     0.00000     0.00000
   -22.04418     0.00000     0.00000     0.00000     0.00000
   -22.00618     0.00000     0.00000     0.00000     0.00000
   -21.96718     0.00000     0.00000     0.00000     0.00000
   -21.92818     0.00000     0.00000     0.00000     0.00000
   -21.89018     0.00000     0.00000     0.00000     0.00000
   -21.85118     0.00000     0.00000     0.00000     0.00000
   -21.81218     0.00000     0.00000     0.00000     0.00000
   -21.77418     0.00000     0.00000     0.00000     0.00000
   -21.73518     0.00000     0.00000     0.00000     0.00000
   -21.69618     0.00000     0.00000     0.00000     0.00000
   -21.65818     0.00000     0.00000     0.00000     0.00000
   -21.61918     0.00000     0.00000     0.00000     0.00000
   -21.58018     0.00000     0.00000     0.00000     0.00000
   -21.54218     0.00000     0.00000     0.00000     0.00000
   -21.50318     0.00000     0.00000     0.00000     0.00000
   -21.46418     0.00000     0.00000     0.00000     0.00000
   -21.42618     0.00000     0.00000     0.00000     0.00000
   -21.38718     0.00000     0.00000     0.00000     0.00000
   -21.34818     0.00000     0.00000     0.00000     0.00000
   -21.31018     0.00000     0.00000     0.00000     0.00000
   -21.27118     0.00000     0.00000     0.00000     0.00000
   -21.23218     0.00000     0.00000     0.00000     0.00000
   -21.19418     0.00000     0.00000     0.00000     0.00000
   -21.15518     0.00000     0.00000     0.00000     0.00000
   -21.11618     0.00000     0.00000     0.00000     0.00000
   -21.07818     0.00000     0.00000     0.00000     0.00000
   -21.03918     0.00000     0.00000     0.00000     0.00000
   -21.00018     0.00000     0.00000     0.00000     0.00000
   -20.96218     0.00000     0.00000     0.00000     0.00000
