     #Energy        Ge_s
   -22.62487     0.00000
   -22.58587     0.00000
   -22.54687     0.00000
   -22.50887     0.00000
   -22.46987     0.00000
   -22.43087     0.00000
   -22.39287     0.00000
   -22.35387     0.00000
   -22.31487     0.00000
   -22.27687     0.00000
   -22.23787     0.00000
   -22.19887     0.00000
   -22.16087     0.00000
   -22.12187     0.00000
   -22.08287     0.00000
   -22.04487     0.00000
   -22.00587     0.00000
   -21.96687     0.00000
   -21.92887     0.00000
   -21.88987     0.00000
   -21.85087     0.00000
   -21.81287     0.00000
   -21.77387     0.00000
   -21.73487     0.00000
   -21.69687     0.00000
   -21.65787     0.00000
   -21.61887     0.00000
   -21.58087     0.00000
   -21.54187     0.00000
   -21.50287     0.00000
   -21.46487     0.00000
   -21.42587     0.00000
   -21.38687     0.00000
   -21.34887     0.00000
   -21.30987     0.00000
   -21.27087     0.00000
   -21.23287     0.00000
   -21.19387     0.00000
   -21.15487     0.00000
   -21.11687     0.00000
   -21.07787     0.00000
   -21.03887     0.00000
   -21.00087     0.00000
   -20.96187     0.00000
   -20.92287     0.00000
   -20.88487     0.00000
   -20.84587     0.00000
   -20.80687     0.00000
   -20.76887     0.00000
   -20.72987     0.00000
   -20.69087     0.00000
   -20.65287     0.00000
   -20.61387     0.00000
   -20.57487     0.00000
   -20.53687     0.00000
   -20.49787     0.00000
   -20.45887     0.00000
   -20.42087     0.00000
   -20.38187     0.00000
   -20.34287     0.00000
   -20.30487     0.00000
   -20.26587     0.00000
   -20.22687     0.00000
   -20.18887     0.00000
   -20.14987     0.00000
   -20.11087     0.00000
   -20.07287     0.00000
   -20.03387     0.00000
   -19.99487     0.00000
   -19.95687     0.00000
   -19.91787     0.00000
   -19.87887     0.00000
   -19.84087     0.00000
   -19.80187     0.00000
   -19.76287     0.00000
   -19.72487     0.00000
   -19.68587     0.00000
   -19.64687     0.00000
   -19.60887     0.00000
   -19.56987     0.00000
   -19.53087     0.00000
   -19.49287     0.00000
   -19.45387     0.00000
   -19.41487     0.00000
   -19.37687     0.00000
   -19.33787     0.00000
   -19.29887     0.00000
   -19.26087     0.00000
   -19.22187     0.00000
   -19.18287     0.00000
   -19.14487     0.00000
   -19.10587     0.00000
   -19.06687     0.00000
   -19.02887     0.00000
   -18.98987     0.00000
   -18.95087     0.00000
   -18.91187     0.00000
   -18.87387     0.00000
   -18.83487     0.00000
   -18.79587     0.00000
   -18.75787     0.00000
   -18.71887     0.00000
   -18.67987     0.00000
   -18.64187     0.00000
   -18.60287     0.00000
   -18.56387     0.00000
   -18.52587     0.00000
   -18.48687     0.00000
   -18.44787     0.00000
   -18.40987     0.00000
   -18.37087     0.00000
   -18.33187     0.00000
   -18.29387     0.00000
   -18.25487     0.00000
   -18.21587     0.00000
   -18.17787     0.00000
   -18.13887     0.00000
   -18.09987     0.00000
   -18.06187     0.00000
   -18.02287     0.00000
   -17.98387     0.00000
   -17.94587     0.00000
   -17.90687     0.00000
   -17.86787     0.00000
   -17.82987     0.00000
   -17.79087     0.00000
   -17.75187     0.00000
   -17.71387     0.00000
   -17.67487     0.00000
   -17.63587     0.00000
   -17.59787     0.00000
   -17.55887     0.00000
   -17.51987     0.00000
   -17.48187     0.00000
   -17.44287     0.00000
   -17.40387     0.00000
   -17.36587     0.00000
   -17.32687     0.00000
   -17.28787     0.00000
   -17.24987     0.00000
   -17.21087     0.00000
   -17.17187     0.00000
   -17.13387     0.00000
   -17.09487     0.00000
   -17.05587     0.00000
   -17.01787     0.00000
   -16.97887     0.00000
   -16.93987     0.00000
   -16.90187     0.00000
   -16.86287     0.00000
   -16.82387     0.00000
   -16.78587     0.00000
   -16.74687     0.00000
   -16.70787     0.00000
   -16.66987     0.00000
   -16.63087     0.00000
   -16.59187     0.00000
   -16.55387     0.00000
   -16.51487     0.00000
   -16.47587     0.00000
   -16.43787     0.00000
   -16.39887     0.00000
   -16.35987     0.00000
   -16.32187     0.00000
   -16.28287     0.00000
   -16.24387     0.00000
   -16.20587     0.00000
   -16.16687     0.00000
   -16.12787     0.00000
   -16.08987     0.00000
   -16.05087     0.00000
   -16.01187     0.00000
   -15.97387     0.00000
   -15.93487     0.00000
   -15.89587     0.00000
   -15.85787     0.00000
   -15.81887     0.00000
   -15.77987     0.00000
   -15.74187     0.00000
   -15.70287     0.00000
   -15.66387     0.00000
   -15.62587     0.00000
   -15.58687     0.00000
   -15.54787     0.00000
   -15.50987     0.00000
   -15.47087     0.00000
   -15.43187     0.00000
   -15.39387     0.00000
   -15.35487     0.00000
   -15.31587     0.00000
   -15.27787     0.00000
   -15.23887     0.00000
   -15.19987     0.00000
   -15.16187     0.00000
   -15.12287     0.00000
   -15.08387     0.00000
   -15.04587     0.00000
   -15.00687     0.00000
   -14.96787     0.00000
   -14.92987     0.00000
   -14.89087     0.00000
   -14.85187     0.00000
   -14.81387     0.00000
   -14.77487     0.00000
   -14.73587     0.00000
   -14.69787     0.00000
   -14.65887     0.00000
   -14.61987     0.00000
   -14.58187     0.00000
   -14.54287     0.00000
   -14.50387     0.00000
   -14.46587     0.00000
   -14.42687     0.00000
   -14.38787     0.00000
   -14.34987     0.00000
   -14.31087     0.00000
   -14.27187     0.00000
   -14.23387     0.00000
   -14.19487     0.00000
   -14.15587     0.00000
   -14.11787     0.00000
   -14.07887     0.00000
   -14.03987     0.00054
   -14.00187     0.01451
   -13.96287     0.04738
   -13.92387     0.06936
   -13.88587     0.07182
   -13.84687     0.08262
   -13.80787     0.09408
   -13.76987     0.10620
   -13.73087     0.11804
   -13.69187     0.12576
   -13.65387     0.12896
   -13.61487     0.13224
   -13.57587     0.13900
   -13.53787     0.14592
   -13.49887     0.15296
   -13.45987     0.16012
   -13.42187     0.16742
   -13.38287     0.17490
   -13.34387     0.18038
   -13.30587     0.18386
   -13.26687     0.18850
   -13.22787     0.19304
   -13.18987     0.19752
   -13.15087     0.20200
   -13.11187     0.20680
   -13.07387     0.21200
   -13.03487     0.21760
   -12.99587     0.22340
   -12.95787     0.22920
   -12.91887     0.23520
   -12.87987     0.24100
   -12.84187     0.24600
   -12.80287     0.24980
   -12.76387     0.25340
   -12.72587     0.25840
   -12.68687     0.26320
   -12.64787     0.26820
   -12.60987     0.27340
   -12.57087     0.27860
   -12.53187     0.28400
   -12.49387     0.28960
   -12.45487     0.29560
   -12.41587     0.30180
   -12.37787     0.30800
   -12.33887     0.31460
   -12.29987     0.32120
   -12.26187     0.32780
   -12.22287     0.33420
   -12.18387     0.34080
   -12.14587     0.34800
   -12.10687     0.35540
   -12.06787     0.36420
   -12.02987     0.37420
   -11.99087     0.38500
   -11.95187     0.39680
   -11.91387     0.40960
   -11.87487     0.42320
   -11.83587     0.44020
   -11.79787     0.46720
   -11.75887     0.50860
   -11.71987     0.53320
   -11.68187     0.54060
   -11.64287     0.53120
   -11.60387     0.51100
   -11.56587     0.55680
   -11.52687     0.56380
   -11.48787     0.53620
   -11.44987     0.51500
   -11.41087     0.49880
   -11.37187     0.48720
   -11.33387     0.48040
   -11.29487     0.47740
   -11.25587     0.47020
   -11.21787     0.46240
   -11.17887     0.45420
   -11.13987     0.44600
   -11.10187     0.43720
   -11.06287     0.42840
   -11.02387     0.41940
   -10.98587     0.41200
   -10.94687     0.39960
   -10.90787     0.39320
   -10.86987     0.38880
   -10.83087     0.38300
   -10.79187     0.37660
   -10.75387     0.36940
   -10.71487     0.36160
   -10.67587     0.35300
   -10.63787     0.34340
   -10.59887     0.33400
   -10.55987     0.32560
   -10.52187     0.31800
   -10.48287     0.31140
   -10.44387     0.30380
   -10.40587     0.29080
   -10.36687     0.30200
   -10.32787     0.29220
   -10.28987     0.27880
   -10.25087     0.26460
   -10.21187     0.25740
   -10.17387     0.26140
   -10.13487     0.25460
   -10.09587     0.23660
   -10.05787     0.20800
   -10.01887     0.13760
    -9.97987     0.08008
    -9.94187     0.05008
    -9.90287     0.02404
    -9.86387     0.01085
    -9.82587     0.00289
    -9.78687     0.00000
    -9.74787     0.00000
    -9.70987     0.00000
    -9.67087     0.00014
    -9.63187     0.00418
    -9.59387     0.00930
    -9.55487     0.01549
    -9.51587     0.02274
    -9.47787     0.03108
    -9.43887     0.04678
    -9.39987     0.06572
    -9.36187     0.08574
    -9.32287     0.10682
    -9.28387     0.12896
    -9.24587     0.15216
    -9.20687     0.25980
    -9.16787     0.25340
    -9.12987     0.25880
    -9.09087     0.25360
    -9.05187     0.24760
    -9.01387     0.25760
    -8.97487     0.24960
    -8.93587     0.26260
    -8.89787     0.27420
    -8.85887     0.28140
    -8.81987     0.28980
    -8.78187     0.30100
    -8.74287     0.31460
    -8.70387     0.33100
    -8.66587     0.35000
    -8.62687     0.37240
    -8.58787     0.38560
    -8.54987     0.38600
    -8.51087     0.50900
    -8.47187     0.63020
    -8.43387     0.64820
    -8.39487     0.62920
    -8.35587     0.54320
    -8.31787     0.46080
    -8.27887     0.42480
    -8.23987     0.39460
    -8.20187     0.37040
    -8.16287     0.35180
    -8.12387     0.33640
    -8.08587     0.32280
    -8.04687     0.31020
    -8.00787     0.29820
    -7.96987     0.28680
    -7.93087     0.27560
    -7.89187     0.26500
    -7.85387     0.25360
    -7.81487     0.24220
    -7.77587     0.23340
    -7.73787     0.22580
    -7.69887     0.21940
    -7.65987     0.21420
    -7.62187     0.20980
    -7.58287     0.20560
    -7.54387     0.20140
    -7.50587     0.19724
    -7.46687     0.19316
    -7.42787     0.18912
    -7.38987     0.18514
    -7.35087     0.18124
    -7.31187     0.17736
    -7.27387     0.17342
    -7.23487     0.16940
    -7.19587     0.16528
    -7.15787     0.16108
    -7.11887     0.15680
    -7.07987     0.15260
    -7.04187     0.14858
    -7.00287     0.14472
    -6.96387     0.14100
    -6.92587     0.13746
    -6.88687     0.13246
    -6.84787     0.12764
    -6.80987     0.12426
    -6.77087     0.12218
    -6.73187     0.12038
    -6.69387     0.11860
    -6.65487     0.11682
    -6.61587     0.11504
    -6.57787     0.11320
    -6.53887     0.11132
    -6.49987     0.10942
    -6.46187     0.10748
    -6.42287     0.10554
    -6.38387     0.10362
    -6.34587     0.10172
    -6.30687     0.09982
    -6.26787     0.09792
    -6.22987     0.09602
    -6.19087     0.09410
    -6.15187     0.09216
    -6.11387     0.09022
    -6.07487     0.08828
    -6.03587     0.08632
    -5.99787     0.08436
    -5.95887     0.08200
    -5.91987     0.07778
    -5.88087     0.07490
    -5.84287     0.07276
    -5.80387     0.07082
    -5.76487     0.06912
    -5.72687     0.06762
    -5.68787     0.06634
    -5.64887     0.06526
    -5.61087     0.06436
    -5.57187     0.06348
    -5.53287     0.06258
    -5.49487     0.06168
    -5.45587     0.06078
    -5.41687     0.05986
    -5.37887     0.06058
    -5.33987     0.06312
    -5.30087     0.06534
    -5.26287     0.06714
    -5.22387     0.06918
    -5.18487     0.07274
    -5.14687     0.07840
    -5.10787     0.07432
    -5.06887     0.07458
    -5.03087     0.07484
    -4.99187     0.07510
    -4.95287     0.07540
    -4.91487     0.07616
    -4.87587     0.07566
    -4.83687     0.07572
    -4.79887     0.07444
    -4.75987     0.07294
    -4.72087     0.07122
    -4.68287     0.07012
    -4.64387     0.06860
    -4.60487     0.06696
    -4.56687     0.06580
    -4.52787     0.06504
    -4.48887     0.06468
    -4.45087     0.06482
    -4.41187     0.06482
    -4.37287     0.06462
    -4.33487     0.06454
    -4.29587     0.06512
    -4.25687     0.06438
    -4.21887     0.06430
    -4.17987     0.06404
    -4.14087     0.06378
    -4.10287     0.06318
    -4.06387     0.06212
    -4.02487     0.06126
    -3.98687     0.06056
    -3.94787     0.05982
    -3.90887     0.05906
    -3.87087     0.05826
    -3.83187     0.05738
    -3.79287     0.05644
    -3.75487     0.05560
    -3.71587     0.05478
    -3.67687     0.05392
    -3.63887     0.05302
    -3.59987     0.05204
    -3.56087     0.05092
    -3.52287     0.04952
    -3.48387     0.04836
    -3.44487     0.04722
    -3.40687     0.04626
    -3.36787     0.04536
    -3.32887     0.04432
    -3.29087     0.04330
    -3.25187     0.04228
    -3.21287     0.04132
    -3.17487     0.04038
    -3.13587     0.03954
    -3.09687     0.03874
    -3.05887     0.03800
    -3.01987     0.03730
    -2.98087     0.03662
    -2.94287     0.03574
    -2.90387     0.03458
    -2.86487     0.03346
    -2.82687     0.03238
    -2.78787     0.03134
    -2.74887     0.03034
    -2.71087     0.02940
    -2.67187     0.02850
    -2.63287     0.02774
    -2.59487     0.02680
    -2.55587     0.02590
    -2.51687     0.02504
    -2.47887     0.02422
    -2.43987     0.02344
    -2.40087     0.02264
    -2.36287     0.02184
    -2.32387     0.02106
    -2.28487     0.02034
    -2.24687     0.01961
    -2.20787     0.01885
    -2.16887     0.01809
    -2.13087     0.01740
    -2.09187     0.01673
    -2.05287     0.01610
    -2.01487     0.01550
    -1.97587     0.01445
    -1.93687     0.01197
    -1.89887     0.01146
    -1.85987     0.01109
    -1.82087     0.01075
    -1.78287     0.01044
    -1.74387     0.01015
    -1.70487     0.00988
    -1.66687     0.00962
    -1.62787     0.00938
    -1.58887     0.00915
    -1.55087     0.00894
    -1.51187     0.00862
    -1.47287     0.00813
    -1.43487     0.00759
    -1.39587     0.00709
    -1.35687     0.00659
    -1.31887     0.00608
    -1.27987     0.00558
    -1.24087     0.00508
    -1.20287     0.00457
    -1.16387     0.00407
    -1.12487     0.00357
    -1.08687     0.00312
    -1.04787     0.00276
    -1.00887     0.00246
    -0.97087     0.00217
    -0.93187     0.00188
    -0.89287     0.00160
    -0.85487     0.00132
    -0.81587     0.00104
    -0.77687     0.00076
    -0.73887     0.00049
    -0.69987     0.00022
    -0.66087     0.00005
    -0.62287     0.00003
    -0.58387     0.00002
    -0.54487     0.00001
    -0.50687     0.00000
    -0.46787     0.00000
    -0.42887     0.00000
    -0.39087     0.00000
    -0.35187     0.00000
    -0.31287     0.00000
    -0.27487     0.00000
    -0.23587     0.00000
    -0.19687     0.00000
    -0.15887     0.00000
    -0.11987     0.00000
    -0.08087     0.00000
    -0.04287     0.00000
    -0.00387     0.00000
     0.03513     0.00327
     0.07313     0.00730
     0.11213     0.01145
     0.15113     0.01565
     0.18913     0.01969
     0.22813     0.02380
     0.26713     0.02886
     0.30513     0.03474
     0.34413     0.04076
     0.38313     0.04674
     0.42113     0.05296
     0.46013     0.05924
     0.49913     0.06554
     0.53713     0.07216
     0.57613     0.07902
     0.61513     0.08612
     0.65313     0.09342
     0.69213     0.10094
     0.73113     0.10870
     0.76913     0.11674
     0.80813     0.12526
     0.84713     0.13424
     0.88513     0.14330
     0.92413     0.15152
     0.96313     0.16070
     1.00113     0.17116
     1.04013     0.18186
     1.07913     0.19328
     1.11713     0.20620
     1.15613     0.22120
     1.19513     0.23880
     1.23313     0.25740
     1.27213     0.27860
     1.31113     0.29400
     1.34913     0.30300
     1.38813     0.30960
     1.42713     0.31380
     1.46513     0.31660
     1.50413     0.32920
     1.54313     0.33500
     1.58113     0.33340
     1.62013     0.32940
     1.65913     0.32420
     1.69713     0.29720
     1.73613     0.27360
     1.77513     0.26080
     1.81313     0.24360
     1.85213     0.22060
     1.89113     0.18966
     1.92913     0.17558
     1.96813     0.15772
     2.00713     0.13970
     2.04513     0.13134
     2.08413     0.12552
     2.12313     0.12222
     2.16113     0.12136
     2.20013     0.12102
     2.23913     0.11998
     2.27713     0.11854
     2.31613     0.11670
     2.35513     0.11444
     2.39313     0.11178
     2.43213     0.10872
     2.47113     0.10344
     2.50913     0.10692
     2.54813     0.11292
     2.58713     0.12146
     2.62513     0.13298
     2.66413     0.14596
     2.70313     0.15378
     2.74113     0.15356
     2.78013     0.14596
     2.81913     0.13796
     2.85713     0.12868
     2.89613     0.12228
     2.93513     0.12038
     2.97313     0.12596
     3.01213     0.12722
     3.05113     0.11046
     3.08913     0.11076
     3.12813     0.11170
     3.16713     0.11120
     3.20513     0.10030
     3.24413     0.09528
     3.28313     0.09246
     3.32113     0.08944
     3.36013     0.08642
     3.39913     0.08246
     3.43713     0.08122
     3.47613     0.08306
     3.51513     0.08414
     3.55313     0.08422
     3.59213     0.08290
     3.63113     0.08018
     3.66913     0.07436
     3.70813     0.06744
     3.74713     0.06172
     3.78513     0.05718
     3.82413     0.05540
     3.86313     0.05392
     3.90113     0.05252
     3.94013     0.05130
     3.97913     0.05036
     4.01713     0.04976
     4.05613     0.04954
     4.09513     0.04900
     4.13313     0.04900
     4.17213     0.04906
     4.21113     0.04894
     4.24913     0.04896
     4.28813     0.04914
     4.32713     0.04954
     4.36513     0.05090
     4.40413     0.05410
     4.44313     0.05828
     4.48113     0.06112
     4.52013     0.06266
     4.55913     0.06212
     4.59713     0.06192
     4.63613     0.05642
     4.67513     0.05736
     4.71313     0.05878
     4.75213     0.05960
     4.79113     0.06904
     4.82913     0.07124
     4.86813     0.07454
     4.90713     0.07132
     4.94513     0.06932
     4.98413     0.06674
     5.02313     0.06660
     5.06113     0.05964
     5.10013     0.05868
     5.13913     0.05862
     5.17713     0.05822
     5.21613     0.05760
     5.25513     0.05698
     5.29313     0.05638
     5.33213     0.05586
     5.37113     0.05528
     5.40913     0.05278
     5.44813     0.05214
     5.48713     0.05200
     5.52513     0.05168
     5.56413     0.05164
     5.60313     0.05230
     5.64113     0.05370
     5.68013     0.05574
     5.71913     0.05016
     5.75713     0.04634
     5.79613     0.04302
     5.83513     0.04010
     5.87313     0.03776
     5.91213     0.03594
     5.95113     0.03466
     5.98913     0.03382
     6.02813     0.03348
     6.06713     0.03332
     6.10513     0.03320
     6.14413     0.03310
     6.18313     0.03302
     6.22113     0.03300
     6.26013     0.03292
     6.29913     0.03264
     6.33713     0.03288
     6.37613     0.03354
     6.41513     0.03558
     6.45313     0.03964
     6.49213     0.04558
     6.53113     0.05210
     6.56913     0.05618
     6.60813     0.05918
     6.64713     0.06110
     6.68513     0.06198
     6.72413     0.06580
     6.76313     0.05176
     6.80113     0.04726
     6.84013     0.04334
     6.87913     0.04002
     6.91713     0.03730
     6.95613     0.03492
     6.99513     0.03252
     7.03313     0.03048
     7.07213     0.02870
     7.11113     0.02752
     7.14913     0.02614
     7.18813     0.02368
     7.22713     0.02004
     7.26613     0.01690
     7.30413     0.01619
     7.34313     0.01573
     7.38213     0.01528
     7.42013     0.01489
     7.45913     0.01443
     7.49813     0.01402
     7.53613     0.01355
     7.57513     0.01302
     7.61413     0.01243
     7.65213     0.01178
     7.69113     0.01109
     7.73013     0.01062
     7.76813     0.01015
     7.80713     0.00969
     7.84613     0.00923
     7.88413     0.00884
     7.92313     0.00846
     7.96213     0.00810
     8.00013     0.00771
     8.03913     0.00726
     8.07813     0.00673
     8.11613     0.00624
     8.15513     0.00590
     8.19413     0.00574
     8.23213     0.00556
     8.27113     0.00536
     8.31013     0.00514
     8.34813     0.00491
     8.38713     0.00466
     8.42613     0.00440
     8.46413     0.00414
     8.50313     0.00390
     8.54213     0.00366
     8.58013     0.00343
     8.61913     0.00322
     8.65813     0.00301
     8.69613     0.00281
     8.73513     0.00263
     8.77413     0.00245
     8.81213     0.00228
     8.85113     0.00212
     8.89013     0.00198
     8.92813     0.00184
     8.96713     0.00171
     9.00613     0.00159
     9.04413     0.00148
     9.08313     0.00138
     9.12213     0.00130
     9.16013     0.00123
     9.19913     0.00115
     9.23813     0.00107
     9.27613     0.00099
     9.31513     0.00090
     9.35413     0.00085
     9.39213     0.00081
     9.43113     0.00070
     9.47013     0.00057
     9.50813     0.00042
     9.54713     0.00027
     9.58613     0.00010
     9.62413     0.00000
     9.66313     0.00000
     9.70213     0.00000
     9.74013     0.00000
     9.77913     0.00000
     9.81813     0.00000
     9.85613     0.00000
     9.89513     0.00000
     9.93413     0.00000
     9.97213     0.00000
    10.01113     0.00000
    10.05013     0.00000
    10.08813     0.00000
    10.12713     0.00000
    10.16613     0.00000
    10.20413     0.00000
    10.24313     0.00000
    10.28213     0.00000
    10.32013     0.00000
    10.35913     0.00000
    10.39813     0.00000
    10.43613     0.00000
    10.47513     0.00000
    10.51413     0.00000
    10.55213     0.00000
    10.59113     0.00000
    10.63013     0.00000
    10.66813     0.00000
    10.70713     0.00000
    10.74613     0.00000
    10.78413     0.00000
    10.82313     0.00000
    10.86213     0.00000
    10.90013     0.00000
    10.93913     0.00000
    10.97813     0.00000
    11.01613     0.00000
    11.05513     0.00000
    11.09413     0.00000
    11.13213     0.00000
    11.17113     0.00000
    11.21013     0.00000
    11.24813     0.00000
    11.28713     0.00000
    11.32613     0.00000
    11.36413     0.00000
