# E_raw(eV)  PDOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-3.069099999999999895e+01 0.000000000000000000e+00 -2.981288158999999993e+01 -3.416544230423112083e+01 -3.441647869820405958e+01 -2.528322594221459241e+01
-3.067899999999999849e+01 0.000000000000000000e+00 -2.980088158999999948e+01 -3.415344230423112037e+01 -3.440447869820405913e+01 -2.527122594221459195e+01
-3.066600000000000037e+01 0.000000000000000000e+00 -2.978788159000000135e+01 -3.414044230423112225e+01 -3.439147869820406100e+01 -2.525822594221459383e+01
-3.065399999999999991e+01 0.000000000000000000e+00 -2.977588159000000090e+01 -3.412844230423112180e+01 -3.437947869820406055e+01 -2.524622594221459337e+01
-3.064099999999999824e+01 0.000000000000000000e+00 -2.976288158999999922e+01 -3.411544230423112367e+01 -3.436647869820406243e+01 -2.523322594221459525e+01
-3.062900000000000134e+01 0.000000000000000000e+00 -2.975088159000000232e+01 -3.410344230423112322e+01 -3.435447869820406197e+01 -2.522122594221459480e+01
-3.061599999999999966e+01 0.000000000000000000e+00 -2.973788159000000064e+01 -3.409044230423112509e+01 -3.434147869820406385e+01 -2.520822594221459667e+01
-3.060300000000000153e+01 0.000000000000000000e+00 -2.972488159000000252e+01 -3.407744230423112697e+01 -3.432847869820406572e+01 -2.519522594221459855e+01
-3.059100000000000108e+01 0.000000000000000000e+00 -2.971288159000000206e+01 -3.406544230423112651e+01 -3.431647869820406527e+01 -2.518322594221459809e+01
-3.057799999999999940e+01 0.000000000000000000e+00 -2.969988159000000039e+01 -3.405244230423112128e+01 -3.430347869820406004e+01 -2.517022594221459286e+01
-3.056599999999999895e+01 0.000000000000000000e+00 -2.968788158999999993e+01 -3.404044230423112083e+01 -3.429147869820405958e+01 -2.515822594221459241e+01
-3.055300000000000082e+01 0.000000000000000000e+00 -2.967488159000000181e+01 -3.402744230423112271e+01 -3.427847869820406146e+01 -2.514522594221459428e+01
-3.054100000000000037e+01 0.000000000000000000e+00 -2.966288159000000135e+01 -3.401544230423112225e+01 -3.426647869820406100e+01 -2.513322594221459383e+01
-3.052799999999999869e+01 0.000000000000000000e+00 -2.964988158999999968e+01 -3.400244230423112413e+01 -3.425347869820406288e+01 -2.512022594221459570e+01
-3.051599999999999824e+01 0.000000000000000000e+00 -2.963788158999999922e+01 -3.399044230423112367e+01 -3.424147869820406243e+01 -2.510822594221459525e+01
-3.050300000000000011e+01 0.000000000000000000e+00 -2.962488159000000110e+01 -3.397744230423112555e+01 -3.422847869820406430e+01 -2.509522594221459713e+01
-3.048999999999999844e+01 0.000000000000000000e+00 -2.961188158999999942e+01 -3.396444230423112032e+01 -3.421547869820405907e+01 -2.508222594221459190e+01
-3.047800000000000153e+01 0.000000000000000000e+00 -2.959988159000000252e+01 -3.395244230423112697e+01 -3.420347869820406572e+01 -2.507022594221459855e+01
-3.046499999999999986e+01 0.000000000000000000e+00 -2.958688159000000084e+01 -3.393944230423112174e+01 -3.419047869820406049e+01 -2.505722594221459332e+01
-3.045299999999999940e+01 0.000000000000000000e+00 -2.957488159000000039e+01 -3.392744230423112128e+01 -3.417847869820406004e+01 -2.504522594221459286e+01
-3.044000000000000128e+01 0.000000000000000000e+00 -2.956188159000000226e+01 -3.391444230423112316e+01 -3.416547869820406191e+01 -2.503222594221459474e+01
-3.042800000000000082e+01 0.000000000000000000e+00 -2.954988159000000181e+01 -3.390244230423112271e+01 -3.415347869820406146e+01 -2.502022594221459428e+01
-3.041499999999999915e+01 0.000000000000000000e+00 -2.953688159000000013e+01 -3.388944230423112458e+01 -3.414047869820406333e+01 -2.500722594221459616e+01
-3.040200000000000102e+01 0.000000000000000000e+00 -2.952388159000000201e+01 -3.387644230423112646e+01 -3.412747869820406521e+01 -2.499422594221459804e+01
-3.039000000000000057e+01 0.000000000000000000e+00 -2.951188159000000155e+01 -3.386444230423112600e+01 -3.411547869820406476e+01 -2.498222594221459758e+01
-3.037699999999999889e+01 0.000000000000000000e+00 -2.949888158999999987e+01 -3.385144230423112077e+01 -3.410247869820405953e+01 -2.496922594221459235e+01
-3.036499999999999844e+01 0.000000000000000000e+00 -2.948688158999999942e+01 -3.383944230423112032e+01 -3.409047869820405907e+01 -2.495722594221459190e+01
-3.035200000000000031e+01 0.000000000000000000e+00 -2.947388159000000130e+01 -3.382644230423112219e+01 -3.407747869820406095e+01 -2.494422594221459377e+01
-3.033999999999999986e+01 0.000000000000000000e+00 -2.946188159000000084e+01 -3.381444230423112174e+01 -3.406547869820406049e+01 -2.493222594221459332e+01
-3.032700000000000173e+01 0.000000000000000000e+00 -2.944888159000000272e+01 -3.380144230423112361e+01 -3.405247869820406237e+01 -2.491922594221459519e+01
-3.031400000000000006e+01 0.000000000000000000e+00 -2.943588159000000104e+01 -3.378844230423112549e+01 -3.403947869820406424e+01 -2.490622594221459707e+01
-3.030199999999999960e+01 0.000000000000000000e+00 -2.942388159000000059e+01 -3.377644230423112504e+01 -3.402747869820406379e+01 -2.489422594221459661e+01
-3.028900000000000148e+01 0.000000000000000000e+00 -2.941088159000000246e+01 -3.376344230423112691e+01 -3.401447869820406567e+01 -2.488122594221459849e+01
-3.027700000000000102e+01 0.000000000000000000e+00 -2.939888159000000201e+01 -3.375144230423112646e+01 -3.400247869820406521e+01 -2.486922594221459804e+01
-3.026399999999999935e+01 0.000000000000000000e+00 -2.938588159000000033e+01 -3.373844230423112123e+01 -3.398947869820405998e+01 -2.485622594221459281e+01
-3.025199999999999889e+01 0.000000000000000000e+00 -2.937388158999999987e+01 -3.372644230423112077e+01 -3.397747869820405953e+01 -2.484422594221459235e+01
-3.023900000000000077e+01 0.000000000000000000e+00 -2.936088159000000175e+01 -3.371344230423112265e+01 -3.396447869820406140e+01 -2.483122594221459423e+01
-3.022599999999999909e+01 0.000000000000000000e+00 -2.934788159000000007e+01 -3.370044230423112452e+01 -3.395147869820406328e+01 -2.481822594221459610e+01
-3.021399999999999864e+01 0.000000000000000000e+00 -2.933588158999999962e+01 -3.368844230423112407e+01 -3.393947869820406282e+01 -2.480622594221459565e+01
-3.020100000000000051e+01 0.000000000000000000e+00 -2.932288159000000149e+01 -3.367544230423112595e+01 -3.392647869820406470e+01 -2.479322594221459752e+01
