    # Energy          Ge           H
   -27.19159     1.56541     0.00000
   -27.17859     3.95382     0.00000
   -27.16659     9.03975     0.00000
   -27.15359    18.61540     0.00000
   -27.14159    34.63206     0.00000
   -27.12859    58.36989     0.00000
   -27.11559    89.36794     0.00000
   -27.10359   124.57612     0.00000
   -27.09059   158.22189     0.00000
   -27.07859   183.25821     0.00000
   -27.06559   193.50270     0.00000
   -27.05259   186.14416     0.00000
   -27.04059   163.00824     0.00000
   -27.02759   129.88145     0.00000
   -27.01559    93.98597     0.00000
   -27.00259    61.70540     0.00000
   -26.99059    36.67611     0.00000
   -26.97759    19.69218     0.00000
   -26.96459     9.52737     0.00000
   -26.95259     4.14106     0.00000
   -26.93959     1.61294     0.00000
   -26.92759     0.56165     0.00000
   -26.91459     0.17442     0.00000
   -26.90159     0.04820     0.00000
   -26.88959     0.01184     0.00000
   -26.87659     0.00258     0.00000
   -26.86459     0.00050     0.00000
   -26.85159     0.00009     0.00000
   -26.83959     0.00001     0.00000
   -26.82659     0.00000     0.00000
   -26.81359     0.00000     0.00000
   -26.80159     0.00000     0.00000
   -26.78859     0.00000     0.00000
   -26.77659     0.00000     0.00000
   -26.76359     0.00000     0.00000
   -26.75059     0.00000     0.00000
   -26.73859     0.00000     0.00000
   -26.72559     0.00000     0.00000
   -26.71359     0.00000     0.00000
   -26.70059     0.00000     0.00000
   -26.68859     0.00000     0.00000
   -26.67559     0.00000     0.00000
   -26.66259     0.00000     0.00000
   -26.65059     0.00000     0.00000
   -26.63759     0.00000     0.00000
   -26.62559     0.00000     0.00000
   -26.61259     0.00000     0.00000
   -26.59959     0.00000     0.00000
   -26.58759     0.00000     0.00000
   -26.57459     0.00000     0.00000
   -26.56259     0.00000     0.00000
   -26.54959     0.00000     0.00000
   -26.53759     0.00000     0.00000
   -26.52459     0.00000     0.00000
   -26.51159     0.00000     0.00000
   -26.49959     0.00000     0.00000
   -26.48659     0.00000     0.00000
   -26.47459     0.00000     0.00000
   -26.46159     0.00000     0.00000
   -26.44959     0.00000     0.00000
   -26.43659     0.00000     0.00000
   -26.42359     0.00000     0.00000
   -26.41159     0.00000     0.00000
   -26.39859     0.00000     0.00000
   -26.38659     0.00000     0.00000
   -26.37359     0.00000     0.00000
   -26.36059     0.00000     0.00000
   -26.34859     0.00000     0.00000
   -26.33559     0.00000     0.00000
   -26.32359     0.00000     0.00000
   -26.31059     0.00000     0.00000
   -26.29859     0.00000     0.00000
   -26.28559     0.00000     0.00000
   -26.27259     0.00000     0.00000
   -26.26059     0.00000     0.00000
   -26.24759     0.00000     0.00000
   -26.23559     0.00000     0.00000
   -26.22259     0.00000     0.00000
   -26.20959     0.00000     0.00000
   -26.19759     0.00000     0.00000
   -26.18459     0.00000     0.00000
   -26.17259     0.00000     0.00000
   -26.15959     0.00000     0.00000
   -26.14759     0.00000     0.00000
   -26.13459     0.00000     0.00000
   -26.12159     0.00000     0.00000
   -26.10959     0.00000     0.00000
   -26.09659     0.00000     0.00000
   -26.08459     0.00000     0.00000
   -26.07159     0.00000     0.00000
   -26.05859     0.00000     0.00000
   -26.04659     0.00000     0.00000
   -26.03359     0.00000     0.00000
   -26.02159     0.00000     0.00000
   -26.00859     0.00000     0.00000
   -25.99659     0.00000     0.00000
   -25.98359     0.00000     0.00000
   -25.97059     0.00000     0.00000
   -25.95859     0.00000     0.00000
   -25.94559     0.00000     0.00000
   -25.93359     0.00000     0.00000
   -25.92059     0.00000     0.00000
   -25.90759     0.00000     0.00000
   -25.89559     0.00000     0.00000
   -25.88259     0.00000     0.00000
   -25.87059     0.00000     0.00000
   -25.85759     0.00000     0.00000
   -25.84559     0.00000     0.00000
   -25.83259     0.00000     0.00000
   -25.81959     0.00000     0.00000
