# E_raw(eV)  DOS(states/eV)  E_minus_Ef(eV)  E_minus_Evac_left(eV)  E_minus_Evac_right(eV)  E_minus_Vmid(eV)
-2.965800000000000125e+01 0.000000000000000000e+00 -2.912859341000000057e+01 -3.457233997477950993e+01 -3.381945695176217015e+01 -2.469986819937089706e+01
-2.964600000000000080e+01 0.000000000000000000e+00 -2.911659341000000012e+01 -3.456033997477950948e+01 -3.380745695176216969e+01 -2.468786819937089660e+01
-2.963299999999999912e+01 0.000000000000000000e+00 -2.910359340999999844e+01 -3.454733997477950425e+01 -3.379445695176216446e+01 -2.467486819937089493e+01
-2.962099999999999866e+01 0.000000000000000000e+00 -2.909159340999999799e+01 -3.453533997477950379e+01 -3.378245695176216401e+01 -2.466286819937089447e+01
-2.960800000000000054e+01 0.000000000000000000e+00 -2.907859340999999986e+01 -3.452233997477950567e+01 -3.376945695176216589e+01 -2.464986819937089635e+01
-2.959600000000000009e+01 0.000000000000000000e+00 -2.906659340999999941e+01 -3.451033997477950521e+01 -3.375745695176216543e+01 -2.463786819937089589e+01
-2.958299999999999841e+01 0.000000000000000000e+00 -2.905359340999999773e+01 -3.449733997477950709e+01 -3.374445695176216731e+01 -2.462486819937089422e+01
-2.957000000000000028e+01 0.000000000000000000e+00 -2.904059340999999961e+01 -3.448433997477950896e+01 -3.373145695176216918e+01 -2.461186819937089609e+01
-2.955799999999999983e+01 0.000000000000000000e+00 -2.902859340999999915e+01 -3.447233997477950851e+01 -3.371945695176216873e+01 -2.459986819937089564e+01
-2.954500000000000171e+01 0.000000000000000000e+00 -2.901559341000000103e+01 -3.445933997477951038e+01 -3.370645695176217060e+01 -2.458686819937089751e+01
-2.953300000000000125e+01 0.000000000000000000e+00 -2.900359341000000057e+01 -3.444733997477950993e+01 -3.369445695176217015e+01 -2.457486819937089706e+01
-2.951999999999999957e+01 0.000000000000000000e+00 -2.899059340999999890e+01 -3.443433997477950470e+01 -3.368145695176216492e+01 -2.456186819937089538e+01
-2.950700000000000145e+01 0.000000000000000000e+00 -2.897759341000000077e+01 -3.442133997477950658e+01 -3.366845695176216680e+01 -2.454886819937089726e+01
-2.949500000000000099e+01 0.000000000000000000e+00 -2.896559341000000032e+01 -3.440933997477950612e+01 -3.365645695176216634e+01 -2.453686819937089680e+01
-2.948199999999999932e+01 0.000000000000000000e+00 -2.895259340999999864e+01 -3.439633997477950800e+01 -3.364345695176216822e+01 -2.452386819937089513e+01
-2.946999999999999886e+01 0.000000000000000000e+00 -2.894059340999999819e+01 -3.438433997477950754e+01 -3.363145695176216776e+01 -2.451186819937089467e+01
-2.945700000000000074e+01 0.000000000000000000e+00 -2.892759341000000006e+01 -3.437133997477950942e+01 -3.361845695176216964e+01 -2.449886819937089655e+01
-2.944500000000000028e+01 0.000000000000000000e+00 -2.891559340999999961e+01 -3.435933997477950896e+01 -3.360645695176216918e+01 -2.448686819937089609e+01
