#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -25.4015  -25.3331  -25.3083  -25.2261  -25.2194  -24.7686  -24.6995  -24.6850  -24.6363  -24.6126  -10.0309   -9.0605   -5.0445   -3.1119    1.3169    4.1315    7.7018    8.5968
  0.0214  -25.4015  -25.3331  -25.3083  -25.2262  -25.2193  -24.7686  -24.6996  -24.6849  -24.6365  -24.6125  -10.0292   -9.0615   -5.0432   -3.1207    1.3314    4.1328    7.6623    7.7557
  0.0428  -25.4015  -25.3331  -25.3082  -25.2265  -25.2189  -24.7686  -24.6997  -24.6848  -24.6368  -24.6121  -10.0242   -9.0645   -5.0393   -3.1465    1.3747    4.1368    7.5570    7.6894
  0.0641  -25.4016  -25.3333  -25.3082  -25.2269  -25.2184  -24.7686  -24.7000  -24.6847  -24.6374  -24.6115  -10.0160   -9.0695   -5.0328   -3.1882    1.4455    4.1433    7.4130    7.5899
  0.0855  -25.4016  -25.3334  -25.3080  -25.2274  -25.2177  -24.7685  -24.7003  -24.6844  -24.6382  -24.6107  -10.0044   -9.0766   -5.0238   -3.2441    1.5422    4.1524    7.2496    7.4640
  0.1069  -25.4016  -25.3336  -25.3079  -25.2279  -25.2169  -24.7685  -24.7007  -24.6842  -24.6391  -24.6097   -9.9896   -9.0859   -5.0122   -3.3119    1.6626    4.1641    7.0762    7.3184
  0.1283  -25.4017  -25.3338  -25.3078  -25.2285  -25.2162  -24.7685  -24.7012  -24.6839  -24.6402  -24.6088   -9.9716   -9.0975   -4.9980   -3.3892    1.8045    4.1784    6.8978    7.1588
  0.1497  -25.4018  -25.3340  -25.3077  -25.2291  -25.2153  -24.7684  -24.7017  -24.6836  -24.6413  -24.6077   -9.9503   -9.1115   -4.9813   -3.4738    1.9657    4.1953    6.7169    6.9894
  0.1710  -25.4019  -25.3342  -25.3076  -25.2296  -25.2144  -24.7683  -24.7022  -24.6833  -24.6425  -24.6065   -9.9259   -9.1280   -4.9622   -3.5634    2.1440    4.2146    6.5351    6.8135
  0.1924  -25.4019  -25.3344  -25.3074  -25.2302  -25.2135  -24.7682  -24.7027  -24.6829  -24.6436  -24.6053   -9.8983   -9.1472   -4.9407   -3.6558    2.3375    4.2365    6.3531    6.6334
  0.2138  -25.4020  -25.3346  -25.3072  -25.2307  -25.2126  -24.7681  -24.7032  -24.6826  -24.6448  -24.6042   -9.8678   -9.1691   -4.9167   -3.7491    2.5445    4.2608    6.1717    6.4511
  0.2352  -25.4021  -25.3348  -25.3071  -25.2312  -25.2117  -24.7680  -24.7037  -24.6823  -24.6459  -24.6031   -9.8345   -9.1938   -4.8905   -3.8418    2.7633    4.2876    5.9912    6.2679
  0.2566  -25.4022  -25.3350  -25.3070  -25.2317  -25.2108  -24.7679  -24.7042  -24.6820  -24.6471  -24.6020   -9.7986   -9.2212   -4.8620   -3.9323    2.9927    4.3167    5.8120    6.0850
  0.2779  -25.4023  -25.3351  -25.3069  -25.2322  -25.2100  -24.7677  -24.7047  -24.6817  -24.6482  -24.6010   -9.7605   -9.2511   -4.8314   -4.0193    3.2314    4.3481    5.6343    5.9033
  0.2993  -25.4023  -25.3353  -25.3068  -25.2327  -25.2093  -24.7676  -24.7052  -24.6814  -24.6493  -24.6000   -9.7212   -9.2829   -4.7989   -4.1016    3.4780    4.3818    5.4584    5.7237
  0.3207  -25.4024  -25.3354  -25.3067  -25.2332  -25.2085  -24.7674  -24.7056  -24.6811  -24.6503  -24.5992   -9.6821   -9.3151   -4.7646   -4.1781    3.7313    4.4175    5.2846    5.5473
  0.3421  -25.4025  -25.3354  -25.3067  -25.2337  -25.2079  -24.7672  -24.7059  -24.6809  -24.6513  -24.5984   -9.6468   -9.3444   -4.7290   -4.2478    3.9889    4.4556    5.1135    5.3753
  0.3635  -25.4026  -25.3354  -25.3066  -25.2341  -25.2073  -24.7670  -24.7062  -24.6806  -24.6522  -24.5976   -9.6222   -9.3639   -4.6927   -4.3094    4.2446    4.4974    4.9470    5.2102
  0.3848  -25.4026  -25.3355  -25.3066  -25.2346  -25.2069  -24.7667  -24.7065  -24.6804  -24.6531  -24.5971   -9.6189   -9.3630   -4.6570   -4.3613    4.4558    4.5670    4.7958    5.0601
  0.4062  -25.4027  -25.3354  -25.3066  -25.2350  -25.2065  -24.7665  -24.7067  -24.6802  -24.6540  -24.5965   -9.6418   -9.3370   -4.6244   -4.4005    4.4971    4.6132    4.7735    4.9872
  0.4062  -25.4027  -25.3354  -25.3066  -25.2350  -25.2065  -24.7665  -24.7067  -24.6802  -24.6540  -24.5965   -9.6418   -9.3370   -4.6244   -4.4005    4.4971    4.6132    4.7735    4.9872
  0.4365  -25.4026  -25.3354  -25.3067  -25.2349  -25.2065  -24.7664  -24.7067  -24.6802  -24.6539  -24.5966   -9.6425   -9.3380   -4.6193   -4.3959    4.2447    4.4782    4.9526    5.2088
  0.4667  -25.4024  -25.3353  -25.3070  -25.2349  -25.2067  -24.7662  -24.7065  -24.6804  -24.6537  -24.5968   -9.6447   -9.3408   -4.6040   -4.3823    3.9284    4.1780    5.2838    5.5340
